City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
marcona,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
saint-philippe,CL,-45.58,-72.07,57.2,62,0,6.91,1610685081
alexandria,CI,8.37,-4.43,71.1,25,8,1.12,1610685081
kapaa,MX,30.48,-115.95,62.44,49,0,4.54,1610685082
provost,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
puerto ayora,US,19.73,-155.09,77.0,69,1,4.61,1610684807
san cristobal,MY,5.41,100.34,86.0,66,20,5.75,1610684718
belushya guba,BR,-4.88,-66.9,73.51,98,100,0.69,1610685082
georgetown,MU,-20.41,57.7,78.8,100,75,3.44,1610684808
mirandola,IN,27.03,77.03,57.52,37,86,2.98,1610684805
yellowknife,RU,55.68,69.21,-6.95,86,97,11.52,1610685083
qaqortoq,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
salvador,US,29.7,-91.21,59.0,94,40,11.5,1610685083
vaitupu,CI,9.52,-6.49,65.21,25,3,3.69,1610685080
avarua,US,22.08,-159.32,75.2,83,40,6.91,1610684993
bredasdorp,SA,17.49,44.13,48.2,40,0,1.97,1610685085
atuona,IN,22.24,68.97,72.64,44,31,10.47,1610685085
chabahar,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
mataura,US,57.05,-135.33,46.4,66,90,23.02,1610684987
chuy,US,22.08,-159.32,75.2,83,40,6.91,1610684993
rocha,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
tautira,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
vallenar,MG,-13.2,49.05,82.53,82,2,1.05,1610685033
puerto ayora,TC,21.46,-71.14,77.99,77,97,8.5,1610685087
ocosingo,AO,-6.13,12.37,76.37,78,17,5.46,1610685087
saint george,PT,32.67,-17.1,52.0,63,8,3.0,1610685035
rikitea,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
port-gentil,TZ,-10.0,39.72,76.96,90,42,4.09,1610685088
arraial do cabo,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
goderich,BR,-5.98,-43.06,71.89,96,95,1.63,1610685088
boundiali,SR,5.88,-56.32,76.05,87,54,7.67,1610685088
skelleftea,ZA,-34.42,19.23,61.0,93,2,1.01,1610685001
hilo,US,22.08,-159.32,75.2,83,40,6.91,1610684993
cabo san lucas,CL,-37.62,-73.65,55.24,88,8,3.36,1610685004
vaini,US,42.1,-79.24,32.0,93,1,5.75,1610684981
fort saint john,CL,-37.62,-73.65,55.24,88,8,3.36,1610685004
coihaique,ZA,-34.42,19.23,61.0,93,2,1.01,1610685001
dabakala,US,19.73,-155.09,77.0,69,1,4.61,1610684807
san quintin,AI,18.22,-63.06,77.0,83,20,5.75,1610685090
rikitea,IN,12.15,75.93,74.53,74,82,5.32,1610685090
hilo,DE,54.07,9.98,33.01,86,100,3.0,1610685090
georgetown,US,39.45,-86.18,42.01,87,100,14.92,1610685091
carauari,ZW,-20.15,28.58,65.7,92,95,8.32,1610685091
mahebourg,LR,5.88,-10.05,77.22,86,2,4.92,1610685091
bhasawar,UY,-33.7,-53.46,64.36,79,4,9.51,1610685000
novoseleznevo,EC,-2.63,-80.38,75.47,82,100,9.71,1610685091
provideniya,MX,22.89,-109.91,61.0,68,63,1.99,1610685081
morgan city,LY,32.53,20.58,58.8,79,62,15.12,1610685092
saleaula,US,42.1,-79.24,32.0,93,1,5.75,1610684981
boundiali,PE,-11.1,-77.61,70.2,84,100,3.94,1610685093
kapaa,CL,-37.62,-73.65,55.24,88,8,3.36,1610685004
najran,ES,28.66,-17.92,62.6,72,90,9.22,1610684988
dwarka,MU,-20.01,57.66,84.99,74,1,7.0,1610684808
vaini,ZA,-33.01,17.94,64.4,94,96,6.91,1610685093
sitka,BR,-21.14,-55.83,72.95,94,100,3.56,1610685094
kapaa,CA,69.45,-133.04,-9.4,77,90,12.66,1610685015
barentsburg,ZA,-33.93,18.42,70.0,88,75,16.11,1610685003
vaini,BR,-30.18,-50.21,72.3,82,85,18.34,1610684988
atuona,NZ,-46.19,168.86,73.0,63,0,8.99,1610684999
ambilobe,NZ,-46.19,168.86,73.0,63,0,8.99,1610684999
cockburn town,CL,-53.15,-70.92,51.8,76,90,9.22,1610685001
soyo,CA,70.47,-68.59,-9.4,84,90,2.3,1610684811
ponta do sol,GR,35.12,25.72,57.0,60,5,7.76,1610685096
rikitea,BR,-22.97,-42.03,74.84,90,0,17.02,1610685066
lindi,CD,-1.95,18.27,72.12,89,94,3.76,1610685097
provideniya,BR,-17.71,-39.25,74.35,86,0,4.03,1610684985
palmeirais,CA,68.22,-135.01,-2.2,84,88,2.3,1610685025
totness,US,47.13,-119.28,33.8,80,1,6.91,1610685098
hermanus,CV,14.9,-24.5,73.04,69,100,11.07,1610685000
kapaa,ML,13.55,-7.45,63.68,26,6,9.71,1610685098
lebu,UY,-32.82,-56.52,65.98,76,22,18.14,1610685098
jamestown,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
el wasta,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
lebu,PF,-16.48,-151.75,80.8,77,27,14.41,1610684822
hermanus,GF,4.93,-52.33,75.2,100,75,1.14,1610685017
hilo,ZA,-34.42,19.23,61.0,93,2,1.01,1610685001
the valley,MU,-19.98,57.61,84.99,74,0,3.0,1610685100
ponnampet,AU,-38.27,141.97,60.28,61,66,27.34,1610685020
neumunster,MY,5.41,100.34,86.0,66,20,5.75,1610684718
bud,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
bulawayo,BB,13.22,-59.52,77.0,83,40,16.11,1610685015
buchanan,BR,-8.76,-35.1,76.26,85,17,6.87,1610685101
chuy,ES,43.52,-8.15,48.0,100,75,3.44,1610685101
playas,CA,51.23,-58.65,24.91,97,96,3.27,1610685101
cabo san lucas,CK,-21.21,-159.78,84.2,70,90,9.22,1610684995
tukrah,CD,1.5,21.05,71.15,87,67,2.86,1610685102
jamestown,LY,31.76,25.09,53.67,69,0,12.97,1610684808
hendijan,CA,70.47,-68.59,-9.4,84,90,2.3,1610684811
hualmay,ZA,-34.0,24.73,73.99,90,18,1.99,1610685103
lebu,MX,16.86,-99.89,76.77,78,100,3.36,1610685103
los llanos de aridane,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
grand gaube,JM,17.88,-76.41,78.8,78,20,4.61,1610685103
saldanha,US,22.08,-159.32,75.2,83,40,6.91,1610684993
nioaque,RU,55.57,75.7,-16.11,88,33,7.92,1610685104
primore,US,42.1,-79.24,32.0,93,1,5.75,1610684981
tuktoyaktuk,PT,32.67,-17.1,52.0,63,8,3.0,1610685035
cape town,IN,19.42,80.07,80.64,27,0,2.53,1610685025
cidreira,MV,4.17,73.51,86.0,70,20,12.66,1610685104
mataura,IS,63.84,-22.43,35.6,93,75,10.36,1610685105
mataura,MG,-19.02,47.18,68.0,88,75,2.3,1610685105
umzimvubu,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
fort saint john,ZA,-33.02,27.91,73.4,94,20,8.05,1610685105
punta arenas,ZA,-33.93,18.42,70.0,88,75,16.11,1610685003
clyde river,BR,-22.97,-42.03,74.84,90,0,17.02,1610685066
pirgos,US,71.29,-156.79,-11.2,70,1,12.66,1610684996
arraial do cabo,HK,22.29,114.16,68.0,46,7,1.99,1610684844
inongo,UA,48.96,32.23,22.95,97,41,7.7,1610685107
caravelas,CA,65.28,-126.83,-5.8,77,1,5.75,1610684811
aklavik,US,22.08,-159.32,75.2,83,40,6.91,1610684993
hunza,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
moses lake,ES,39.89,4.27,46.4,87,20,5.75,1610685108
sao filipe,NZ,-46.19,168.86,73.0,63,0,8.99,1610684999
banamba,CA,63.75,-68.51,-16.01,76,20,2.3,1610685108
paso de los toros,KZ,43.36,76.86,10.4,92,90,2.24,1610685109
atuona,CA,70.47,-68.59,-9.4,84,90,2.3,1610684811
vaini,ZA,-33.59,26.89,69.01,98,61,11.16,1610685065
faanui,CA,55.74,-97.86,12.2,85,90,16.11,1610684811
cayenne,US,42.1,-79.24,32.0,93,1,5.75,1610684981
attawapiskat,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
hermanus,IL,31.61,34.76,53.01,100,66,11.79,1610684994
sedelnikovo,US,37.77,-122.42,55.99,87,20,13.8,1610685038
cap malheureux,CV,14.9,-24.5,73.04,69,100,11.07,1610685000
codrington,CA,69.45,-133.04,-9.4,77,90,12.66,1610685015
georgetown,UY,-33.7,-53.46,64.36,79,4,9.51,1610685000
rikitea,US,42.1,-79.24,32.0,93,1,5.75,1610684981
bathsheba,ML,22.68,-3.98,50.86,40,9,11.7,1610685028
tamandare,BR,-22.97,-42.03,74.84,90,0,17.02,1610685066
naron,RU,50.68,36.55,24.8,93,90,8.95,1610685112
saint-augustin,MU,-20.34,57.76,84.99,100,75,3.44,1610685043
avarua,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
bongandanga,AU,-33.87,151.21,82.0,61,75,20.71,1610684984
bardiyah,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
clyde river,CG,1.64,18.07,69.58,91,47,2.35,1610685114
marcona,US,40.6,-124.16,53.01,100,90,6.91,1610685070
kruisfontein,US,34.64,-120.46,54.0,87,1,5.06,1610685114
acapulco,GW,11.28,-15.83,78.15,68,0,5.37,1610685114
rikitea,RU,64.56,39.83,-31.0,75,0,0.92,1610685115
morant bay,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
kapaa,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
ust-tarka,BR,-22.97,-42.03,74.84,90,0,17.02,1610685066
jamestown,RU,59.95,56.29,8.62,95,100,8.86,1610685117
ponta do sol,GL,72.79,-56.15,16.02,96,100,4.36,1610684779
